accuracy,loss,val_accuracy,val_loss
0.36089617013931274,1.8248950242996216,0.7937871217727661,0.6749675273895264
0.6402539610862732,1.0457100868225098,0.9023545980453491,0.33788013458251953
0.7167729139328003,0.8218611478805542,0.9347821474075317,0.2701358497142792
0.7576965093612671,0.705802857875824,0.9576948881149292,0.1667565405368805
0.7868008017539978,0.6234549283981323,0.9685038924217224,0.13194231688976288
0.8098242878913879,0.556847333908081,0.9724771976470947,0.10994748026132584
0.8275033831596375,0.5043568015098572,0.9794942736625671,0.08257296681404114
0.8412885665893555,0.463750958442688,0.9827645421028137,0.06814192235469818
0.8539705276489258,0.42724260687828064,0.9848995208740234,0.06025746092200279
0.8654009699821472,0.3951355814933777,0.9878512620925903,0.05162765830755234
0.8742116689682007,0.3693864047527313,0.989009439945221,0.04444991424679756
0.8836633563041687,0.3428635895252228,0.9910758137702942,0.041155606508255005
0.8914380669593811,0.31943225860595703,0.9915986061096191,0.03283858671784401
0.8968173265457153,0.3038789927959442,0.9918252825737,0.032182686030864716
0.9033857583999634,0.28559523820877075,0.9927792549133301,0.029146838933229446
0.9092273712158203,0.26774561405181885,0.9936421513557434,0.026349060237407684
0.9135923981666565,0.25482791662216187,0.9937100410461426,0.02556726709008217
0.9176130890846252,0.24369290471076965,0.9946410655975342,0.020950594916939735
0.9210619926452637,0.23389826714992523,0.994550347328186,0.02061227709054947
0.9234871864318848,0.22791188955307007,0.9943912029266357,0.021440893411636353
